soil_type,nitrogen,phosphorus,potassium,organic_carbon,pH,recommended_crop,recommended_fertilizer
Laterite,15.77,9.26,85.47,0.59,4.81,Tea,Organic Compost
Black,31.0,17.75,275.46,1.43,7.84,Cotton,NPK 20:20:0
Laterite,19.53,6.64,87.25,0.38,4.58,Cashew,Organic Compost
Red,45.75,11.78,143.67,0.65,6.31,Groundnut,SSP + Urea
Alluvial,86.6,23.86,168.62,1.18,7.17,Maize,Urea + MOP
Red,58.87,9.27,139.86,0.47,6.17,Maize,Gypsum + SSP
Black,28.68,23.05,309.29,1.66,7.95,Soybean,NPK 20:20:0
Black,21.06,18.33,277.18,1.23,7.08,Pulses,NPK 20:20:0
Laterite,13.61,6.25,110.01,0.64,4.68,Tea,Organic Compost
Black,27.61,12.09,239.56,1.58,7.86,Cotton,Potash + Urea
Alluvial,87.91,26.03,207.64,0.83,6.96,Rice,Urea + MOP
Black,43.02,16.51,247.05,1.24,7.22,Cotton,NPK 20:20:0
Red,34.83,9.26,120.15,0.73,5.78,Groundnut,SSP + Urea
Laterite,31.2,7.81,129.91,0.43,5.1,Rubber,Organic Compost
Red,43.0,17.72,110.43,0.74,6.39,Millets,SSP + Urea
Laterite,30.31,5.73,84.65,0.61,5.34,Rubber,Organic Compost
Laterite,11.99,6.95,88.48,0.53,4.7,Rubber,Organic Mix
Red,31.2,16.8,156.43,0.42,5.73,Maize,SSP + Urea
Laterite,27.88,8.73,101.9,0.53,5.63,Cashew,Organic Compost
Black,37.73,23.96,252.67,1.82,8.12,Soybean,Potash + Urea
Laterite,24.74,6.56,91.27,0.21,4.6,Rubber,Organic Mix
Black,24.27,23.25,276.15,2.14,8.14,Soybean,NPK 20:20:0
Red,31.36,14.82,157.59,0.82,6.1,Millets,SSP + Urea
Black,40.74,14.69,259.19,1.66,8.07,Cotton,NPK 20:20:0
Red,41.75,10.93,161.42,0.61,6.3,Millets,Gypsum + SSP
Laterite,27.98,8.72,78.72,0.42,4.89,Rubber,Organic Mix
Red,28.32,11.9,159.9,0.68,5.72,Maize,Gypsum + SSP
Laterite,31.83,6.29,125.7,0.77,4.63,Tea,Organic Compost
Laterite,33.94,11.3,90.54,0.51,4.68,Tea,Organic Mix
Alluvial,68.61,33.68,209.71,0.95,6.46,Rice,Urea + MOP
Alluvial,62.44,24.55,149.42,1.46,7.51,Maize,NPK 10:26:26
Laterite,12.23,10.17,93.12,0.33,5.12,Tea,Organic Mix
Red,49.72,12.49,150.5,0.41,6.26,Groundnut,SSP + Urea
Alluvial,80.11,39.0,156.53,1.24,6.64,Sugarcane,Urea + DAP
Laterite,22.19,6.96,100.95,0.4,5.81,Rubber,Organic Compost
Black,39.02,19.02,332.03,1.09,7.79,Soybean,NPK 20:20:0
Laterite,15.67,7.65,93.42,0.42,5.58,Tea,Organic Mix
Black,30.32,18.49,298.5,1.3,7.24,Pulses,NPK 20:20:0
Red,31.83,7.06,133.47,0.8,6.48,Maize,Gypsum + SSP
Black,23.55,14.5,302.9,1.25,7.71,Pulses,NPK 20:20:0
Black,40.04,24.31,316.97,1.51,7.28,Pulses,Potash + Urea
Black,37.26,17.56,320.07,1.09,7.68,Cotton,NPK 20:20:0
Black,41.51,16.33,336.12,1.76,7.36,Soybean,NPK 20:20:0
Black,35.37,15.31,294.93,1.76,7.23,Cotton,Potash + Urea
Alluvial,62.57,20.9,210.44,0.87,7.25,Maize,Urea + MOP
Red,34.08,15.68,114.14,0.76,5.79,Groundnut,Gypsum + SSP
Alluvial,79.52,19.65,211.06,1.28,7.18,Sugarcane,Urea + MOP
Laterite,30.42,8.96,94.99,0.73,5.04,Tea,Organic Mix
Black,33.82,19.11,290.02,2.12,7.01,Cotton,NPK 20:20:0
Red,54.91,14.21,129.38,0.54,5.75,Groundnut,SSP + Urea
Red,27.8,12.91,174.97,0.43,5.53,Millets,SSP + Urea
Alluvial,54.8,33.17,209.09,1.33,7.37,Sugarcane,Urea + MOP
Red,32.32,16.68,146.16,0.61,5.57,Maize,Gypsum + SSP
Red,44.05,11.24,118.79,0.69,6.29,Groundnut,SSP + Urea
Red,33.49,14.73,113.54,0.57,5.53,Millets,Gypsum + SSP
Black,45.04,24.18,322.55,1.79,7.82,Pulses,NPK 20:20:0
Laterite,31.02,6.77,109.93,0.46,5.71,Cashew,Organic Mix
Laterite,18.29,7.94,79.26,0.38,4.99,Tea,Organic Compost
Black,45.71,17.0,268.58,1.5,7.67,Cotton,Potash + Urea
Alluvial,58.49,21.02,172.76,1.11,6.97,Maize,NPK 10:26:26
Red,46.48,17.48,126.62,0.89,6.43,Groundnut,Gypsum + SSP
Black,19.26,16.53,309.9,1.72,7.33,Pulses,NPK 20:20:0
Red,39.19,15.67,139.46,0.7,5.95,Maize,SSP + Urea
Alluvial,66.7,33.39,185.76,0.9,7.31,Maize,Urea + DAP
Laterite,19.89,5.85,120.45,0.65,4.59,Rubber,Organic Mix
Red,56.64,10.71,171.55,0.88,5.56,Maize,Gypsum + SSP
Red,32.52,16.34,114.7,0.65,5.95,Millets,SSP + Urea
Red,39.67,14.61,125.09,0.6,5.72,Millets,Gypsum + SSP
Black,37.91,18.21,282.7,1.18,8.33,Soybean,Potash + Urea
Red,49.25,11.89,120.59,0.52,6.21,Groundnut,Gypsum + SSP
Laterite,33.33,11.15,83.54,0.49,5.22,Rubber,Organic Compost
Laterite,27.63,7.28,121.54,0.51,4.85,Tea,Organic Compost
Red,29.43,10.63,141.83,0.55,6.09,Millets,SSP + Urea
Black,27.69,20.16,283.79,2.04,7.36,Cotton,Potash + Urea
Laterite,27.18,8.97,104.47,0.48,5.52,Cashew,Organic Compost
Black,24.33,12.99,328.39,2.1,7.67,Soybean,Potash + Urea
Laterite,28.56,10.53,80.52,0.54,5.45,Rubber,Organic Compost
Black,20.05,10.78,286.64,1.94,8.04,Pulses,Potash + Urea
Black,28.2,24.6,334.87,2.05,8.16,Soybean,NPK 20:20:0
Red,29.94,15.5,138.16,0.7,6.31,Groundnut,SSP + Urea
Laterite,31.73,7.63,127.32,0.7,5.18,Cashew,Organic Mix
Laterite,11.18,11.13,124.67,0.28,5.1,Cashew,Organic Compost
Laterite,30.6,6.94,115.04,0.67,5.18,Rubber,Organic Compost
Laterite,29.92,11.79,113.41,0.27,5.5,Tea,Organic Mix
Red,24.86,15.65,153.68,0.71,6.1,Maize,Gypsum + SSP
Black,26.93,13.31,265.04,1.91,8.1,Pulses,NPK 20:20:0
Black,27.75,18.5,327.7,2.03,8.31,Pulses,Potash + Urea
Red,54.22,12.7,129.78,0.53,6.09,Groundnut,SSP + Urea
Black,41.47,18.41,276.79,1.79,7.39,Pulses,NPK 20:20:0
Red,51.25,16.16,165.97,0.64,6.42,Millets,SSP + Urea
Alluvial,56.84,28.47,186.81,1.36,7.06,Wheat,Urea + DAP
Laterite,22.68,12.6,124.73,0.68,5.56,Rubber,Organic Mix
Red,32.09,12.17,116.67,0.77,6.12,Millets,Gypsum + SSP
Red,29.42,16.24,165.68,0.83,6.48,Maize,Gypsum + SSP
Alluvial,67.29,37.56,160.63,1.22,7.14,Wheat,Urea + DAP
Black,34.89,15.4,261.79,1.79,8.42,Pulses,NPK 20:20:0
Laterite,19.39,9.49,115.21,0.5,4.7,Tea,Organic Mix
Alluvial,68.96,33.52,225.31,1.29,7.34,Maize,Urea + DAP
Alluvial,78.55,24.01,196.76,1.28,7.01,Sugarcane,NPK 10:26:26
Alluvial,72.22,22.26,189.81,1.1,7.03,Maize,NPK 10:26:26
Alluvial,55.14,30.75,223.04,1.07,7.34,Maize,Urea + MOP
Black,41.66,23.34,263.55,1.91,8.54,Cotton,NPK 20:20:0
Laterite,25.16,6.86,85.92,0.7,5.07,Cashew,Organic Mix
Red,45.08,16.02,151.15,0.83,6.04,Groundnut,SSP + Urea
Black,39.55,10.51,267.25,1.97,7.3,Soybean,NPK 20:20:0
Black,38.88,13.8,282.14,1.97,7.77,Cotton,NPK 20:20:0
Laterite,32.75,10.26,106.78,0.49,5.86,Tea,Organic Compost
Red,40.73,15.16,117.28,0.57,5.59,Groundnut,SSP + Urea
Red,42.48,12.28,134.89,0.44,5.71,Millets,SSP + Urea
Laterite,13.27,8.59,89.02,0.58,4.62,Rubber,Organic Compost
Alluvial,86.6,25.56,210.17,1.1,7.35,Maize,Urea + MOP
Alluvial,77.53,35.81,188.91,1.24,6.99,Rice,Urea + DAP
Red,38.42,15.98,167.86,0.62,6.44,Maize,SSP + Urea
Alluvial,63.79,28.34,166.29,1.2,7.38,Maize,Urea + DAP
Alluvial,59.55,28.19,154.99,1.0,6.7,Wheat,Urea + MOP
Red,55.79,13.23,143.29,1.02,5.88,Millets,SSP + Urea
Black,19.74,10.95,328.98,1.82,7.22,Soybean,Potash + Urea
Alluvial,69.35,26.13,196.55,1.31,6.62,Maize,Urea + DAP
Red,45.03,14.5,148.02,0.39,6.1,Maize,Gypsum + SSP
Laterite,22.05,6.48,112.17,0.68,4.89,Rubber,Organic Mix
Alluvial,81.47,38.61,182.66,1.39,7.04,Sugarcane,Urea + MOP
Black,32.07,17.68,254.28,1.59,7.42,Pulses,Potash + Urea
Alluvial,55.44,28.84,155.74,0.96,7.27,Rice,Urea + DAP
Alluvial,76.19,23.04,175.43,1.01,7.57,Wheat,NPK 10:26:26
Red,28.92,16.79,139.46,0.76,6.38,Millets,SSP + Urea
Black,29.45,21.54,315.24,1.88,7.76,Pulses,NPK 20:20:0
Alluvial,87.66,25.22,152.36,1.22,6.68,Wheat,Urea + DAP
Red,43.88,12.36,154.87,0.52,6.3,Groundnut,Gypsum + SSP
Red,29.35,14.5,143.23,0.55,5.92,Millets,Gypsum + SSP
Alluvial,66.51,39.29,220.03,0.88,7.13,Rice,Urea + DAP
Black,40.04,23.1,251.5,2.03,7.4,Cotton,Potash + Urea
Laterite,29.94,7.51,110.17,0.59,5.44,Tea,Organic Mix
Alluvial,72.28,32.65,178.07,1.31,7.33,Wheat,Urea + DAP
Laterite,34.45,5.69,95.39,0.53,5.06,Tea,Organic Mix
Red,31.26,12.66,134.76,0.45,5.79,Millets,Gypsum + SSP
Red,23.58,9.24,138.23,0.76,6.26,Maize,Gypsum + SSP
Black,21.46,17.44,337.34,1.7,8.03,Soybean,Potash + Urea
Red,49.19,7.49,110.61,0.49,5.75,Maize,SSP + Urea
Red,29.39,14.61,141.02,0.85,6.18,Groundnut,SSP + Urea
Red,50.31,10.73,130.81,0.5,6.5,Maize,SSP + Urea
Red,57.57,12.41,125.19,0.57,6.38,Maize,SSP + Urea
Laterite,13.42,5.88,119.33,0.51,5.51,Rubber,Organic Mix
Laterite,22.45,10.79,86.6,0.66,5.25,Rubber,Organic Compost
Black,16.9,13.77,337.72,1.55,8.25,Soybean,Potash + Urea
Red,44.49,14.42,114.41,0.56,5.92,Maize,SSP + Urea
Black,38.14,11.35,249.6,1.23,7.38,Pulses,Potash + Urea
Black,28.27,9.75,279.55,1.8,7.89,Soybean,NPK 20:20:0
Laterite,17.57,12.08,129.81,0.57,5.91,Rubber,Organic Compost
Black,23.84,21.36,270.86,1.68,7.24,Cotton,NPK 20:20:0
Black,37.48,21.96,301.77,0.97,8.31,Pulses,NPK 20:20:0
Black,28.98,21.81,259.52,1.5,7.75,Pulses,Potash + Urea
Black,37.26,25.4,271.27,2.1,7.82,Cotton,NPK 20:20:0
Red,41.8,17.42,112.88,0.49,5.78,Groundnut,SSP + Urea
Laterite,35.62,5.85,105.02,0.6,5.77,Rubber,Organic Compost
Black,22.37,17.13,309.18,1.32,7.58,Pulses,NPK 20:20:0
Alluvial,64.39,24.4,204.59,1.21,6.96,Rice,NPK 10:26:26
Laterite,26.98,8.27,111.0,0.62,5.66,Rubber,Organic Compost
Laterite,24.85,9.03,96.71,0.74,4.43,Cashew,Organic Mix
Alluvial,69.51,36.88,202.27,1.43,6.69,Sugarcane,Urea + MOP
Laterite,20.68,11.46,134.6,0.32,5.51,Tea,Organic Mix
Black,25.67,10.29,254.15,2.28,8.51,Soybean,Potash + Urea
Alluvial,81.75,34.04,160.83,1.32,6.89,Sugarcane,NPK 10:26:26
Red,57.8,11.49,141.87,0.63,6.07,Groundnut,Gypsum + SSP
Laterite,16.04,5.97,102.51,0.69,5.85,Cashew,Organic Mix
Black,24.82,22.62,311.2,1.41,8.17,Cotton,NPK 20:20:0
Laterite,34.32,9.31,104.04,0.48,4.64,Cashew,Organic Mix
Black,27.06,21.84,264.86,1.57,7.54,Pulses,NPK 20:20:0
Alluvial,74.97,25.4,186.13,0.99,6.66,Sugarcane,Urea + MOP
Laterite,22.44,13.54,83.33,0.43,5.32,Rubber,Organic Mix
Black,20.64,14.39,292.08,1.48,8.35,Soybean,NPK 20:20:0
Laterite,21.45,8.95,107.91,0.65,4.99,Cashew,Organic Mix
Alluvial,74.58,39.52,194.11,1.15,7.16,Rice,Urea + MOP
Alluvial,80.5,27.66,174.35,1.33,7.32,Sugarcane,Urea + MOP
Alluvial,83.41,28.9,187.11,0.9,7.26,Wheat,Urea + DAP
Alluvial,69.82,24.2,174.59,1.12,7.03,Maize,Urea + MOP
Alluvial,86.5,23.59,166.57,1.23,7.25,Rice,Urea + DAP
Black,32.65,11.46,252.63,2.18,7.53,Cotton,Potash + Urea
Laterite,30.3,5.81,94.09,0.54,5.1,Tea,Organic Mix
Black,45.74,12.22,281.11,1.77,7.02,Cotton,Potash + Urea
Alluvial,87.43,27.52,200.01,1.44,6.97,Sugarcane,Urea + DAP
Laterite,6.7,6.45,108.65,0.52,4.81,Tea,Organic Compost
Alluvial,67.19,30.41,216.03,0.94,7.07,Maize,Urea + DAP
Laterite,22.87,7.94,109.88,0.5,4.44,Cashew,Organic Mix
Laterite,14.66,8.6,94.89,0.23,4.52,Rubber,Organic Compost
Alluvial,85.12,33.75,164.38,0.68,6.76,Wheat,Urea + DAP
Red,37.95,16.96,129.03,0.45,5.67,Millets,SSP + Urea
Red,51.69,17.44,161.5,0.84,5.58,Groundnut,Gypsum + SSP
Alluvial,89.91,30.12,213.47,1.03,7.26,Maize,Urea + DAP
Alluvial,69.89,22.19,154.1,1.14,7.23,Wheat,NPK 10:26:26
Red,56.86,16.23,121.28,0.51,6.4,Maize,SSP + Urea
Alluvial,56.66,25.06,183.27,1.43,6.84,Maize,Urea + MOP
Alluvial,69.32,33.44,203.93,1.11,6.7,Wheat,Urea + MOP
Alluvial,60.37,34.89,156.58,1.26,7.54,Rice,NPK 10:26:26
Laterite,26.41,11.0,114.09,0.65,5.58,Rubber,Organic Mix
Black,43.69,25.44,319.79,1.08,7.63,Soybean,Potash + Urea
Laterite,25.73,9.77,117.11,0.72,5.42,Cashew,Organic Compost
Laterite,15.98,7.66,98.22,0.76,5.51,Cashew,Organic Mix
Laterite,28.47,12.7,107.41,0.53,5.07,Rubber,Organic Mix
Black,25.84,17.82,244.55,2.07,8.01,Soybean,Potash + Urea
Black,43.69,11.08,266.92,1.1,8.37,Soybean,NPK 20:20:0
Alluvial,61.63,28.6,207.76,0.84,6.6,Rice,NPK 10:26:26
Laterite,20.36,11.9,130.09,0.51,4.92,Tea,Organic Compost
Alluvial,77.36,26.3,162.14,0.92,7.37,Maize,Urea + DAP
Alluvial,82.53,34.41,159.77,0.83,6.74,Wheat,NPK 10:26:26
Red,43.53,17.6,120.58,0.78,5.92,Maize,SSP + Urea
Red,46.56,17.89,156.27,0.71,6.41,Maize,SSP + Urea
Alluvial,64.86,34.67,196.6,0.96,6.93,Wheat,Urea + MOP
Laterite,33.81,7.83,103.83,0.58,5.47,Tea,Organic Compost
Alluvial,68.12,34.95,192.69,1.41,7.44,Rice,NPK 10:26:26
Laterite,16.31,5.54,129.57,0.58,5.5,Rubber,Organic Compost
Laterite,20.37,8.42,84.38,0.45,4.73,Cashew,Organic Mix
Red,26.32,12.56,163.39,0.82,5.63,Millets,SSP + Urea
Black,30.73,18.12,278.96,1.74,7.84,Soybean,Potash + Urea
Red,57.43,16.53,161.05,0.65,5.99,Groundnut,SSP + Urea
Laterite,17.79,9.14,100.93,0.62,4.62,Cashew,Organic Compost
Alluvial,70.94,22.56,213.62,1.05,6.52,Maize,NPK 10:26:26
Laterite,16.35,10.09,94.31,0.69,5.33,Cashew,Organic Mix
Alluvial,85.89,23.21,161.31,1.22,6.38,Rice,Urea + DAP
Black,40.47,24.34,307.9,1.11,8.37,Soybean,NPK 20:20:0
Laterite,18.91,9.49,106.51,0.5,5.13,Tea,Organic Compost
Laterite,24.48,7.07,115.51,0.53,4.78,Rubber,Organic Compost
Alluvial,64.69,23.41,179.06,1.31,6.84,Sugarcane,Urea + DAP
Red,52.06,9.4,158.18,0.91,6.16,Millets,SSP + Urea
Laterite,8.29,8.02,100.99,0.3,5.66,Tea,Organic Compost
Black,28.13,21.95,325.5,0.97,8.41,Soybean,NPK 20:20:0
Black,28.77,18.18,271.93,1.53,7.24,Pulses,NPK 20:20:0
Red,54.68,14.34,156.13,0.68,6.35,Groundnut,Gypsum + SSP
Alluvial,77.98,26.28,188.29,0.87,6.9,Sugarcane,Urea + MOP
Laterite,33.89,11.72,109.25,0.58,4.87,Tea,Organic Mix
Red,58.43,8.58,139.69,0.86,6.04,Maize,Gypsum + SSP
Alluvial,61.04,22.39,165.3,1.17,6.97,Wheat,NPK 10:26:26
Black,24.92,22.88,304.02,1.48,7.83,Cotton,Potash + Urea
Alluvial,73.9,26.2,173.68,1.09,6.63,Rice,Urea + DAP
Red,40.0,15.79,130.9,0.78,5.89,Groundnut,SSP + Urea
Alluvial,80.61,20.52,172.86,1.0,7.29,Wheat,Urea + MOP
Red,33.9,12.78,120.61,0.51,5.84,Millets,Gypsum + SSP
Black,31.31,12.42,253.61,1.77,8.35,Cotton,NPK 20:20:0
Red,54.83,14.46,168.16,0.55,6.32,Millets,Gypsum + SSP
Black,30.82,16.55,287.5,1.99,7.49,Soybean,Potash + Urea
Black,26.29,21.01,236.45,1.62,7.95,Soybean,Potash + Urea
Black,30.18,24.19,270.5,1.6,8.07,Pulses,Potash + Urea
Black,40.62,20.22,318.18,1.93,7.92,Cotton,Potash + Urea
Red,59.04,18.03,141.79,0.53,5.8,Groundnut,SSP + Urea
Red,41.14,13.96,137.52,0.64,5.7,Millets,SSP + Urea
Laterite,21.96,5.72,111.33,0.64,5.62,Cashew,Organic Mix
Laterite,11.11,10.09,104.37,0.26,4.96,Cashew,Organic Compost
Laterite,29.99,5.11,109.53,0.4,4.53,Rubber,Organic Mix
Red,49.43,6.97,149.07,0.6,5.56,Millets,SSP + Urea
Red,47.02,15.0,121.99,0.52,6.13,Maize,Gypsum + SSP
Laterite,22.67,12.1,118.05,0.57,4.67,Rubber,Organic Mix
Black,26.41,22.65,314.53,1.76,8.33,Pulses,NPK 20:20:0
Black,22.94,18.76,287.18,2.16,7.77,Soybean,NPK 20:20:0
Alluvial,68.48,18.67,188.34,1.01,6.73,Wheat,NPK 10:26:26
Laterite,12.33,5.08,84.0,0.42,4.63,Tea,Organic Mix
Red,40.1,15.01,164.36,0.89,6.01,Groundnut,SSP + Urea
Alluvial,78.9,35.17,160.9,0.96,7.2,Wheat,NPK 10:26:26
Black,27.87,24.57,288.26,1.81,7.29,Cotton,Potash + Urea
Black,22.45,20.74,311.94,1.0,7.16,Cotton,Potash + Urea
Laterite,22.08,9.47,104.39,0.48,4.79,Tea,Organic Mix
Black,25.77,13.51,312.34,1.17,8.42,Pulses,Potash + Urea
Alluvial,61.24,40.41,202.16,0.9,7.33,Wheat,Urea + MOP
Black,40.67,21.01,332.5,1.1,8.22,Cotton,Potash + Urea
Red,47.65,12.09,115.76,0.69,5.73,Maize,SSP + Urea
Laterite,28.25,7.58,109.38,0.51,5.08,Tea,Organic Compost
Alluvial,75.31,29.51,163.26,0.88,6.75,Rice,Urea + DAP
Red,48.31,13.44,169.35,0.8,5.78,Millets,Gypsum + SSP
Laterite,11.78,9.61,100.29,0.29,5.48,Rubber,Organic Compost
Alluvial,79.98,25.41,193.3,0.93,6.93,Wheat,Urea + DAP
Red,29.86,14.34,121.59,0.81,6.31,Millets,Gypsum + SSP
Alluvial,61.35,33.9,186.64,1.01,6.92,Maize,Urea + MOP
Black,23.94,24.73,342.95,2.06,8.07,Pulses,Potash + Urea
Black,25.85,16.56,325.77,2.05,8.3,Pulses,Potash + Urea
Alluvial,69.31,34.01,190.11,1.15,7.5,Wheat,Urea + MOP
Black,25.1,12.19,283.8,1.23,7.57,Cotton,Potash + Urea
Black,40.38,14.34,328.83,1.98,8.02,Pulses,NPK 20:20:0
Red,23.08,17.79,166.44,0.75,5.86,Groundnut,Gypsum + SSP
Alluvial,63.6,38.35,217.65,1.2,6.47,Rice,Urea + MOP
Red,51.33,10.25,118.13,0.79,6.05,Maize,Gypsum + SSP
Laterite,23.04,11.36,107.19,0.43,4.72,Tea,Organic Compost
Red,55.87,9.69,152.63,0.78,6.1,Groundnut,Gypsum + SSP
Red,53.17,10.14,122.21,0.66,5.91,Maize,Gypsum + SSP
Alluvial,86.76,25.43,171.25,0.8,7.36,Maize,Urea + DAP
Alluvial,57.68,28.49,211.07,1.29,6.8,Sugarcane,Urea + MOP
Black,29.02,11.44,266.57,1.22,7.24,Soybean,Potash + Urea
Alluvial,71.07,21.01,155.13,1.0,7.48,Wheat,Urea + MOP
Laterite,25.11,10.94,96.51,0.74,4.71,Cashew,Organic Mix
Red,31.19,8.78,130.8,0.8,5.52,Groundnut,SSP + Urea
Alluvial,62.58,36.37,161.67,1.39,7.14,Maize,NPK 10:26:26
Laterite,27.2,8.62,113.47,0.27,5.68,Cashew,Organic Mix
Laterite,10.02,7.28,106.04,0.41,5.46,Tea,Organic Compost
Alluvial,66.31,28.87,188.09,1.16,7.44,Sugarcane,NPK 10:26:26
Laterite,15.24,9.74,126.11,0.48,5.38,Rubber,Organic Mix
Black,35.99,19.86,288.65,1.71,7.07,Soybean,NPK 20:20:0
Laterite,12.38,8.26,114.2,0.5,4.8,Rubber,Organic Compost
Black,37.18,15.65,242.3,1.06,8.28,Soybean,NPK 20:20:0
Laterite,34.61,10.85,96.53,0.52,4.93,Tea,Organic Mix
Alluvial,68.43,27.12,191.25,0.96,6.72,Wheat,Urea + MOP
Red,28.26,13.07,110.17,0.9,5.91,Maize,Gypsum + SSP
Laterite,23.12,12.14,79.26,0.43,4.84,Tea,Organic Mix
Red,42.01,17.34,157.78,0.75,5.99,Millets,Gypsum + SSP
Red,47.33,12.26,167.81,0.5,5.85,Groundnut,SSP + Urea
Black,35.72,16.76,304.81,1.51,6.81,Cotton,NPK 20:20:0
Black,25.17,12.76,304.83,1.02,7.89,Cotton,Potash + Urea
Black,39.29,20.2,287.7,2.25,7.17,Pulses,Potash + Urea
Laterite,23.1,7.73,106.63,0.45,4.68,Cashew,Organic Compost
Alluvial,84.57,24.38,149.21,0.91,7.58,Maize,Urea + MOP
Black,39.84,19.47,322.13,1.63,7.91,Cotton,NPK 20:20:0
Alluvial,89.35,28.74,173.99,0.84,7.11,Sugarcane,NPK 10:26:26
Alluvial,84.25,34.0,201.33,0.92,7.39,Wheat,NPK 10:26:26
Laterite,33.85,5.16,106.24,0.39,5.24,Tea,Organic Compost
Laterite,20.8,11.61,96.9,0.31,5.04,Rubber,Organic Compost
Red,30.69,11.45,158.75,0.55,5.59,Groundnut,SSP + Urea
Alluvial,72.66,30.59,204.05,1.2,7.23,Rice,NPK 10:26:26
Laterite,16.17,5.2,85.94,0.5,5.24,Cashew,Organic Compost
Alluvial,91.41,21.45,207.92,0.98,6.72,Sugarcane,Urea + DAP
Black,38.53,21.07,260.12,2.05,8.04,Cotton,NPK 20:20:0
Alluvial,75.01,33.77,194.69,1.36,6.75,Wheat,NPK 10:26:26
Black,38.52,20.8,287.75,1.17,8.05,Soybean,NPK 20:20:0
Red,44.98,8.93,172.53,0.85,5.99,Millets,Gypsum + SSP
Laterite,18.26,6.93,81.97,0.42,5.45,Rubber,Organic Mix
Black,33.19,11.14,327.4,2.1,8.15,Pulses,NPK 20:20:0
Laterite,27.83,9.83,110.88,0.67,5.71,Tea,Organic Compost
Laterite,9.19,7.36,94.69,0.4,5.59,Rubber,Organic Mix
Alluvial,87.37,37.57,187.78,1.18,6.69,Rice,Urea + MOP
Alluvial,62.24,23.41,194.95,1.17,6.96,Wheat,Urea + MOP
Alluvial,73.07,24.25,210.67,1.02,7.4,Sugarcane,Urea + DAP
Alluvial,89.29,29.42,225.15,1.06,6.62,Sugarcane,Urea + DAP
Alluvial,64.17,28.91,151.93,0.89,7.34,Maize,Urea + MOP
Laterite,17.98,8.54,113.51,0.29,5.11,Rubber,Organic Compost
Red,49.23,15.77,163.06,0.7,6.46,Maize,SSP + Urea
Laterite,13.93,8.72,120.79,0.39,5.71,Cashew,Organic Mix
Laterite,33.28,8.5,106.69,0.45,4.92,Cashew,Organic Mix
Laterite,28.09,10.92,120.55,0.43,4.58,Rubber,Organic Compost
Black,40.44,26.1,284.56,1.95,8.11,Cotton,NPK 20:20:0
Red,51.39,11.15,147.7,0.72,6.13,Groundnut,Gypsum + SSP
Black,38.12,13.77,302.73,1.05,7.67,Soybean,NPK 20:20:0
Alluvial,74.12,31.1,167.66,0.89,7.28,Maize,Urea + MOP
Alluvial,75.39,37.16,186.48,1.29,7.36,Maize,Urea + DAP
Alluvial,71.75,37.2,179.79,0.74,6.59,Maize,Urea + MOP
Alluvial,59.65,38.23,161.12,1.02,7.36,Rice,Urea + MOP
Black,24.83,18.33,294.38,1.91,7.52,Pulses,Potash + Urea
Black,36.49,14.47,261.12,1.63,7.8,Cotton,NPK 20:20:0
Red,34.63,13.28,125.31,0.59,6.25,Groundnut,SSP + Urea
Alluvial,77.64,31.35,193.44,0.8,7.38,Maize,Urea + MOP
Alluvial,85.22,35.71,191.93,1.05,6.73,Maize,Urea + MOP
Black,28.15,24.28,274.43,1.51,7.56,Cotton,Potash + Urea
Alluvial,59.24,26.39,184.21,1.44,6.51,Rice,Urea + MOP
Laterite,15.27,10.5,112.54,0.7,4.66,Cashew,Organic Compost
Laterite,30.34,6.73,80.56,0.6,5.87,Rubber,Organic Compost
Black,25.85,22.61,326.69,2.01,7.15,Cotton,Potash + Urea
Black,22.45,21.09,304.07,1.13,7.46,Pulses,NPK 20:20:0
Red,51.94,12.8,102.86,0.4,6.17,Maize,Gypsum + SSP
Black,36.14,15.68,277.18,1.98,7.9,Soybean,Potash + Urea
Red,44.31,12.79,154.48,0.58,5.56,Maize,SSP + Urea
Alluvial,55.45,25.42,163.41,0.87,6.59,Maize,Urea + DAP
Alluvial,72.08,39.69,158.41,1.4,6.81,Maize,NPK 10:26:26
Black,45.1,15.75,328.25,1.34,8.02,Soybean,NPK 20:20:0
Black,21.9,12.21,326.27,1.2,7.37,Soybean,NPK 20:20:0
Alluvial,82.85,35.25,202.32,1.3,7.27,Maize,NPK 10:26:26
Laterite,23.35,7.6,118.3,0.41,4.57,Tea,Organic Compost
Black,25.89,15.63,295.55,1.47,8.18,Cotton,NPK 20:20:0
Red,24.96,12.74,164.55,0.57,6.17,Groundnut,SSP + Urea
Alluvial,86.84,25.86,163.81,1.26,7.58,Sugarcane,NPK 10:26:26
Black,37.45,23.3,283.79,1.91,7.19,Cotton,NPK 20:20:0
Laterite,28.02,8.52,96.3,0.69,5.67,Tea,Organic Compost
Red,43.76,18.0,122.9,0.52,6.61,Maize,Gypsum + SSP
Alluvial,75.24,36.05,158.63,1.13,6.87,Rice,Urea + MOP
Red,46.68,12.24,118.63,0.49,6.23,Groundnut,Gypsum + SSP
Black,36.16,21.03,302.68,2.17,7.18,Pulses,Potash + Urea
Black,20.2,15.24,303.8,1.69,8.26,Cotton,NPK 20:20:0
Laterite,24.05,8.72,93.22,0.31,4.83,Tea,Organic Mix
Red,44.52,10.78,146.61,0.83,5.44,Maize,SSP + Urea
